Date,Open,High,Low,Close,Volume
1/7/2016 16:00:00,621.8,630,605.21,607.94,7074915
1/8/2016 16:00:00,619.66,624.14,606,607.05,5512915
1/11/2016 16:00:00,612.48,619.85,598.57,617.74,4891551
1/12/2016 16:00:00,625.25,625.99,612.24,617.89,4724100
1/13/2016 16:00:00,620.88,620.88,579.16,581.81,7655239
1/14/2016 16:00:00,580.25,602.25,569.88,593,7237978
1/15/2016 16:00:00,572.24,584.62,565.3,570.18,7784523
1/19/2016 16:00:00,577.09,584,566.45,574.48,4807165
1/20/2016 16:00:00,564.36,578.45,547.18,571.77,7966406
1/21/2016 16:00:00,573.58,588.81,568.22,575.02,4952217
1/22/2016 16:00:00,588.73,600.1,584.11,596.38,5120144
1/25/2016 16:00:00,597.99,608.5,594.56,596.53,4396079
1/26/2016 16:00:00,603.45,604.5,590.38,601.25,3765655
1/27/2016 16:00:00,601.99,603.39,578.78,583.35,5152853
1/28/2016 16:00:00,608.37,638.06,597.55,635.35,14015171
1/29/2016 16:00:00,571.98,593,570,587,14677550
2/1/2016 16:00:00,578.15,581.8,570.31,574.81,6355123
2/2/2016 16:00:00,570,571.56,550.09,552.1,6312045
2/3/2016 16:00:00,553.5,556,521.9,531.07,10048709
2/4/2016 16:00:00,525,538.99,519.22,536.26,6199070
2/5/2016 16:00:00,529.28,529.45,499.19,502.13,9708929
2/8/2016 16:00:00,486.47,493.5,475.21,488.1,9825509
2/9/2016 16:00:00,478.01,498.38,474,482.07,7077915
2/10/2016 16:00:00,491.76,504.66,486,490.48,6786181
2/11/2016 16:00:00,491.17,509.3,484,503.82,7397393
2/12/2016 16:00:00,510.7,516.75,501.49,507.08,5384787
2/16/2016 16:00:00,519.48,524.45,511.66,521.1,5118500
2/17/2016 16:00:00,528.74,537.48,519.39,534.1,4824002
2/18/2016 16:00:00,541.19,541.2,523.73,525,4735008
2/19/2016 16:00:00,520.71,535.95,515.35,534.9,4974717
2/22/2016 16:00:00,542.2,560.65,541.08,559.5,5566553
2/23/2016 16:00:00,555.55,556.91,545.33,552.94,4050790
2/24/2016 16:00:00,545.75,554.27,533.15,554.04,6231668
2/25/2016 16:00:00,555.52,559.39,545.29,555.15,4525463
2/26/2016 16:00:00,560.12,562.5,553.17,555.23,4877039
2/29/2016 16:00:00,554,564.81,552.51,552.52,4145396
3/1/2016 16:00:00,556.29,579.25,556,579.04,5038452
3/2/2016 16:00:00,581.75,585,573.7,580.21,4582170
3/3/2016 16:00:00,577.96,579.87,573.11,577.49,2741292
3/4/2016 16:00:00,581.07,581.4,571.07,575.14,3416545
3/7/2016 16:00:00,573.54,573.63,555.55,562.8,4932527
3/8/2016 16:00:00,557.87,571.35,554.74,560.26,4729952
3/9/2016 16:00:00,559.56,560.35,550.13,559.47,4377283
3/10/2016 16:00:00,566.74,567,547.9,558.93,3919892
3/11/2016 16:00:00,566.95,570.06,562.73,569.61,3771310
3/14/2016 16:00:00,567,576.89,563.05,573.37,3454152
3/15/2016 16:00:00,571,581.52,567,577.02,3876821
3/16/2016 16:00:00,576.64,581.32,571.14,574.27,3537669
3/17/2016 16:00:00,569.51,571.4,555.01,559.44,1836751
3/18/2016 16:00:00,560.94,562.33,546.09,552.08,7296885
3/21/2016 16:00:00,548.91,555.24,538.58,553.98,5155732
3/22/2016 16:00:00,545.11,562.76,545.05,560.48,4000564
3/23/2016 16:00:00,561,572.48,558.1,569.63,3983720
3/24/2016 16:00:00,567.11,583.55,567.08,582.95,5185539
3/28/2016 16:00:00,584.4,584.75,575.56,579.87,3121522
